tick,aep_active,aep_hyperactive,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory,condition
1.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,27792.0,10782.1,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
2.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,25812.5,11616.4,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
3.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,24318.4,12514.6,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
4.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,22773.5,13307.8,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
5.0,49.9,0.1,0.0,0.0,0.0,0.0,49.9,21326.2,14320.5,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
6.0,49.9,0.1,0.2,0.0,0.0,0.0,49.9,20092.5,15338.6,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
7.0,49.0,1.0,0.4,0.0,0.0,0.0,49.0,18947.7,16556.0,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
8.0,49.0,1.0,1.0,0.2,0.0,0.0,49.0,17550.0,17734.0,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
9.0,47.4,2.6,1.4,0.6,0.0,0.0,47.4,16360.7,19120.0,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
10.0,47.4,2.6,2.2,1.8,0.0,0.0,47.4,15602.1,20521.2,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
11.0,46.5,3.5,2.6,2.6,0.0,0.0,46.5,14609.0,21996.2,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
12.0,46.5,3.5,3.2,3.8,0.0,0.0,46.5,13668.2,23714.0,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
13.0,45.4,4.6,4.4,4.4,0.0,0.0,45.4,12814.0,25425.1,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
14.0,45.4,4.6,5.0,5.6,0.0,0.0,45.4,11767.3,27399.2,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
15.0,44.5,5.5,5.4,6.4,0.0,0.0,44.5,11098.7,29666.3,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
16.0,44.5,5.5,6.0,7.0,0.0,0.0,44.5,10218.2,31946.9,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
17.0,43.2,6.8,7.4,9.0,0.0,0.0,43.2,9367.2,34325.1,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
18.0,43.2,6.8,9.6,10.2,0.0,0.0,43.2,8637.4,36840.0,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
19.0,42.1,7.9,11.0,12.0,0.0,0.0,42.1,8064.9,39574.9,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
20.0,42.1,7.9,12.8,13.4,0.0,0.0,42.1,7505.1,42638.7,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
21.0,41.5,8.5,14.0,14.8,0.0,0.0,41.5,7030.7,45549.4,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
22.0,41.5,8.5,15.4,16.0,0.0,0.0,41.5,6546.1,48618.5,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
23.0,40.0,10.0,17.6,17.6,0.0,0.0,40.0,6018.9,52254.5,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
24.0,40.0,10.0,20.2,18.8,0.0,0.0,40.0,5577.6,56317.8,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
25.0,39.0,11.0,22.2,20.0,0.0,0.0,39.0,5165.3,60359.1,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
26.0,39.0,11.0,24.4,23.2,0.0,0.0,39.0,4767.0,64835.2,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
27.0,38.1,11.9,26.6,25.4,0.0,0.0,38.1,4478.0,69982.3,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
