tick,aep_active,aep_hyperactive,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory,condition
1.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,28773.7,10534.9,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,healthy
2.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,27558.4,11139.8,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,healthy
3.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,26231.1,11772.1,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,healthy
4.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,25007.2,12516.5,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,healthy
5.0,49.8,0.2,0.2,0.2,0.0,0.0,49.8,23605.1,13223.6,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,healthy
6.0,49.8,0.2,0.2,0.4,0.0,0.0,49.8,22581.2,14062.1,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,healthy
7.0,48.8,1.2,0.6,0.6,0.0,0.0,48.8,21313.8,14948.0,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,healthy
8.0,48.8,1.2,0.6,1.0,0.0,0.0,48.8,20746.0,15961.4,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,healthy
9.0,48.1,1.9,1.4,1.4,0.0,0.0,48.1,20056.4,16933.9,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,healthy
10.0,48.1,1.9,2.0,1.6,0.0,0.0,48.1,19451.2,18003.2,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,healthy
