tick,aep_active,aep_hyperactive,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory,condition
1.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,27065.533333333333,10875.733333333334,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
2.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,24398.6,11893.533333333333,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
3.0,49.733333333333334,0.26666666666666666,0.0,0.0,0.0,0.0,49.733333333333334,22320.466666666667,12791.666666666666,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
4.0,49.733333333333334,0.26666666666666666,0.13333333333333333,0.0,0.0,0.0,49.733333333333334,20226.933333333334,13890.0,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
5.0,48.53333333333333,1.4666666666666666,0.4,0.13333333333333333,0.0,0.0,48.53333333333333,18626.266666666666,15193.733333333334,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
6.0,48.53333333333333,1.4666666666666666,0.8,0.26666666666666666,0.0,0.0,48.53333333333333,16715.866666666665,16526.2,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
7.0,47.333333333333336,2.6666666666666665,1.3333333333333333,0.9333333333333333,0.0,0.0,47.333333333333336,15190.2,17855.933333333334,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
8.0,47.333333333333336,2.6666666666666665,1.7333333333333334,1.8666666666666667,0.0,0.0,47.333333333333336,13765.2,19498.666666666668,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
9.0,46.266666666666666,3.7333333333333334,2.1333333333333333,3.2,0.0,0.0,46.266666666666666,12390.066666666668,21130.4,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
10.0,46.266666666666666,3.7333333333333334,3.2,3.8666666666666667,0.0,0.0,46.266666666666666,11172.733333333334,23074.4,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
