tick,aep_active,aep_hyperactive,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.7491508030522,167.53271180223138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755.1672284051673,256.8506699751173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5936168397046635,0.5936168397046636,0.0,0.0,0.0,0.0,0.5936168397046635,670.4629388571393,312.6891808322185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5936168397046635,0.5936168397046636,0.5163977794943222,0.0,0.0,0.0,0.5936168397046635,608.2047900721158,456.0393153477639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.1872336794093263,1.1872336794093272,0.828078671210825,0.5163977794943222,0.0,0.0,1.1872336794093263,718.3739045000641,516.4295646437132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.1872336794093263,1.1872336794093272,1.2649110640673518,0.7037315505489967,0.0,0.0,1.1872336794093263,619.4029229446527,557.9751914607981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.345185418269098,1.3451854182690985,1.632993161855452,1.2798809468443688,0.0,0.0,1.345185418269098,526.2621834354868,677.7937388180517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.345185418269098,1.3451854182690985,1.667618775665584,2.5597618936887376,0.0,0.0,1.345185418269098,579.1032723098704,782.9641176476798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.8695555876298775,1.869555587629877,1.7674302033770737,3.5294677866702306,0.0,0.0,1.8695555876298775,677.8640262583922,878.861422523483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.8695555876298775,1.869555587629877,2.808151400069855,3.814758308514571,0.0,0.0,1.8695555876298775,665.1986241144897,944.7817435033043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.804755622554715,1.8047556225547152,2.9146591730832094,3.9617216074881,0.0,0.0,1.804755622554715,744.8027415427013,1002.2782951617687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.804755622554715,1.8047556225547152,3.195234546871921,4.420730385678044,0.0,0.0,1.804755622554715,698.8011979710069,1005.4403062956098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.7099150633319553,1.709915063331955,3.687817782917155,5.10834984072529,0.0,0.0,1.7099150633319553,756.9629606589241,1202.6602576114735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.7099150633319553,1.709915063331955,3.4641016151377544,5.942582411232151,0.0,0.0,1.7099150633319553,762.5798943311418,1670.0707370248324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.9346465162548798,1.9346465162548798,3.6147844564602556,7.171371656006362,0.0,0.0,1.9346465162548798,696.5439035149253,2108.9121727518577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.9346465162548798,1.9346465162548798,4.20883424647321,7.7754191435023525,0.0,0.0,1.9346465162548798,640.7149429311277,2302.96268398112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.229670058871619,2.229670058871619,5.002856326996752,9.216961590045873,0.0,0.0,2.229670058871619,639.4812406496825,2535.299865799668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.229670058871619,2.229670058871619,5.961783050636542,8.746155618055173,0.0,0.0,2.229670058871619,636.304868529454,3222.388521105483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.8900486072696,2.8900486072695992,6.2549028388784365,10.041817327460961,0.0,0.0,2.8900486072696,619.0255783622084,3337.6819258424325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.8900486072696,2.8900486072695992,6.3456021516217564,9.700270001151415,0.0,0.0,2.8900486072696,587.4227811461892,3567.965383934151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.1997023671109215,3.1997023671109224,5.974549195984421,10.303952085070494,0.0,0.0,3.1997023671109215,583.3328870746593,3986.1230215407486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.1997023671109215,3.1997023671109224,6.789347398332045,10.370287225668205,0.0,0.0,3.1997023671109215,548.3250078974278,4597.222525871564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.2616093018777153,3.2616093018777153,6.710333183126709,10.41610474674857,0.0,0.0,3.2616093018777153,454.8269372598141,4943.989927174207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.2616093018777153,3.2616093018777153,7.197883286739498,11.232605600279419,0.0,0.0,3.2616093018777153,400.9468792745492,6005.813581934789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.290679478249352,3.2906794782493525,8.276184996436346,11.450930509081326,0.0,0.0,3.290679478249352,385.92260512032345,6742.852125099026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.290679478249352,3.2906794782493525,8.01664934163062,12.367391841143425,0.0,0.0,3.290679478249352,337.68599107962496,7907.368448539146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.1592645316516927,3.159264531651692,8.746155618055175,13.103252958530494,0.0,0.0,3.1592645316516927,283.28921785408806,8848.955722623567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.1592645316516927,3.159264531651692,8.778762251403478,14.017675916329287,0.0,0.0,3.1592645316516927,260.09772888556444,9303.106090108266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.4475664294853363,3.4475664294853385,8.581264198129272,13.812347822906588,0.0,0.0,3.4475664294853363,229.8499510550307,10378.296166244521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.4475664294853363,3.4475664294853385,8.789604249176572,14.199932930760456,0.0,0.0,3.4475664294853363,201.89565904906706,11723.869809678277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.426785249013592,3.4267852490135913,9.890832696420025,13.934540845375157,0.0,0.0,3.426785249013592,189.28655525419654,12571.343077847825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.426785249013592,3.4267852490135913,10.479912758633606,13.390828417774822,0.0,0.0,3.426785249013592,182.49495752981645,14459.891339577242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.3051186852834067,3.305118685283408,11.335574008193767,13.21615173439934,0.0,0.0,3.3051186852834067,177.84120793026358,15814.010546709158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.3051186852834067,3.305118685283408,12.623485293387915,13.477317805783732,0.0,0.0,3.3051186852834067,171.42420232527596,18197.3735069757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.5145954180219596,3.5145954180219596,13.51965060128968,13.57448587117268,0.0,0.0,3.5145954180219596,164.98340464884282,20410.238617162806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.5145954180219596,3.5145954180219596,13.6416728481238,13.804071173113421,0.0,0.0,3.5145954180219596,136.0758541962463,25547.60102091407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
