tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,0,0,0,0,0,0,50,27968,10651,50,0,300,0,0,0,0,0,0,0,0
2,50,0,0,0,0,0,0,0,50,27448,11272,50,0,300,0,0,0,0,0,0,0,0
3,50,0,0,0,0,0,0,0,50,25970,11914,50,0,300,0,0,0,0,0,0,0,0
4,50,0,0,0,0,0,0,0,50,23801,12636,50,0,300,0,0,0,0,0,0,0,0
5,50,0,0,0,0,0,0,0,50,23951,13525,50,0,300,0,0,0,0,0,0,0,0
6,50,0,0,0,0,0,0,0,50,23543,14416,50,0,300,0,0,0,0,0,0,0,0
7,49,1,0,0,0,2,0,0,49,22177,15417,50,0,300,0,0,0,0,0,0,0,0
8,49,1,0,0,0,2,0,0,49,21204,16563,50,0,300,0,0,0,0,0,0,0,0
9,49,1,0,0,0,4,0,0,49,20737,17402,50,0,300,0,0,0,0,0,0,0,0
10,49,1,0,0,0,4,0,0,49,19735,18769,50,0,300,0,0,0,0,0,0,0,0
11,48,2,0,0,0,6,0,0,48,19361,19156,50,0,300,0,0,0,0,0,0,0,0
12,48,2,0,0,0,6,0,0,48,18104,20349,50,0,300,0,0,0,0,0,0,0,0
13,46,4,0,0,0,6,0,0,46,17866,21567,50,0,300,0,0,0,0,0,0,0,0
14,46,4,0,0,0,8,0,0,46,16490,22320,50,0,300,0,0,0,0,0,0,0,0
15,45,5,0,0,0,8,0,0,45,15951,23823,50,0,300,0,0,0,0,0,0,0,0
16,45,5,0,0,0,10,0,0,45,15663,25403,50,0,300,0,0,0,0,0,0,0,0
17,45,5,0,0,2,10,0,0,45,14799,27336,50,0,300,0,0,0,0,0,0,0,0
18,45,5,0,0,2,12,0,0,45,13862,28967,50,0,300,0,0,0,0,0,0,0,0
19,43,7,0,0,2,14,0,0,43,12883,31406,50,0,300,0,0,0,0,0,0,0,0
20,43,7,0,0,6,14,0,0,43,12385,33875,50,0,300,0,0,0,0,0,0,0,0
21,41,9,0,0,6,18,0,0,41,12116,35671,50,0,300,0,0,0,0,0,0,0,0
22,41,9,0,0,14,18,0,0,41,11471,36936,50,0,300,0,0,0,0,0,0,0,0
23,41,9,0,0,16,22,0,0,41,10941,39716,50,0,300,0,0,0,0,0,0,0,0
24,41,9,0,0,16,24,0,0,41,10366,41940,50,0,300,0,0,0,0,0,0,0,0
25,41,9,0,0,16,28,0,0,41,9330,44236,50,0,300,0,0,0,0,0,0,0,0
26,41,9,0,0,20,30,0,0,41,8767,46150,50,0,300,0,0,0,0,0,0,0,0
27,41,9,0,0,20,30,0,0,41,8453,48625,50,0,300,0,0,0,0,0,0,0,0
28,41,9,0,0,22,30,0,0,41,8331,51609,50,0,300,0,0,0,0,0,0,0,0
29,39,11,0,0,22,34,0,0,39,7702,54591,50,0,300,0,0,0,0,0,0,0,0
30,39,11,0,0,24,34,0,0,39,7243,57983,50,0,300,0,0,0,0,0,0,0,0
31,38,12,0,0,26,34,0,0,38,6933,62350,50,0,300,0,0,0,0,0,0,0,0
32,38,12,0,0,30,38,0,0,38,6915,66530,50,0,300,0,0,0,0,0,0,0,0
33,38,12,0,0,34,38,0,0,38,6660,70271,50,0,300,0,0,0,0,0,0,0,0
34,38,12,0,0,34,38,0,0,38,6328,73251,50,0,300,0,0,0,0,0,0,0,0
35,37,13,0,0,36,38,0,0,37,6042,77582,50,0,300,0,0,0,0,0,0,0,0
36,37,13,0,0,36,40,0,0,37,5710,82765,50,0,300,0,0,0,0,0,0,0,0
37,37,13,0,0,38,40,0,0,37,5582,87368,50,0,300,0,0,0,0,0,0,0,0
38,37,13,0,0,38,42,0,0,37,5460,94054,50,0,300,0,0,0,0,0,0,0,0
39,37,13,0,0,40,42,0,0,37,5047,99394,50,0,300,0,0,0,0,0,0,0,0
40,37,13,0,0,40,44,0,0,37,4762,103661,50,0,300,0,0,0,0,0,0,0,0
41,35,15,0,0,42,44,0,0,35,4347,109298,50,0,300,0,0,0,0,0,0,0,0
42,35,15,0,0,42,44,0,0,35,4132,117008,50,0,300,0,0,0,0,0,0,0,0
43,33,17,0,0,44,44,0,0,33,3844,119803,50,0,300,0,0,0,0,0,0,0,0
44,33,17,0,0,44,48,0,0,33,3767,125399,50,0,300,0,0,0,0,0,0,0,0
45,33,17,0,0,46,48,0,0,33,3631,134833,50,0,300,0,0,0,0,0,0,0,0
46,33,17,0,0,50,54,0,0,33,3327,142069,50,0,300,0,0,0,0,0,0,0,0
47,33,17,0,0,50,54,0,0,33,3234,151493,50,0,300,0,0,0,0,0,0,0,0
48,33,17,0,0,54,54,0,0,33,3138,161859,50,0,300,0,0,0,0,0,0,0,0
49,31,19,0,0,58,56,0,0,31,3177,168901,50,0,300,0,0,0,0,0,0,0,0
50,31,19,0,0,60,56,0,0,31,3152,180875,50,0,300,0,0,0,0,0,0,0,0
51,29,21,0,0,60,58,0,0,29,2922,185894,50,0,300,0,0,0,0,0,0,0,0
52,29,21,0,0,62,62,0,0,29,3523,159839,50,0,300,0,0,0,0,0,0,0,0
53,27,23,0,0,66,64,0,0,27,4119,147191,50,0,300,0,0,0,0,0,0,0,0
54,27,23,0,0,72,66,0,0,27,4498,125685,50,0,300,0,0,0,0,0,0,0,0
55,27,23,0,0,74,70,0,0,27,5446,112100,50,0,300,0,0,0,0,0,0,0,0
56,27,23,0,0,74,72,0,0,27,6058,91826,50,0,300,0,0,0,0,0,0,0,0
57,26,24,0,0,84,82,0,0,26,7033,83431,50,0,300,0,0,0,0,0,0,0,0
58,26,24,0,0,88,84,0,0,26,8517,70236,50,0,300,0,0,0,0,0,0,0,0
59,26,24,0,0,94,86,0,0,26,9992,61137,50,0,300,0,0,0,0,0,0,0,0
60,26,24,0,0,94,90,0,0,26,12153,49059,50,0,300,0,0,0,0,0,0,0,0
61,25,25,0,0,100,92,0,0,25,14933,41990,50,0,300,0,0,0,0,0,0,0,0
62,25,25,0,0,100,92,0,0,25,19134,36994,50,0,300,0,0,0,0,0,0,0,0
63,23,27,0,0,102,98,0,0,23,22636,33459,50,0,300,0,0,0,0,0,0,0,0
64,23,27,0,0,104,104,0,0,23,25191,28067,50,0,300,0,0,0,0,0,0,0,0
65,23,27,0,0,108,106,0,0,23,28291,25394,50,0,300,0,0,0,0,0,0,0,0
66,23,27,0,0,112,106,0,0,23,32964,22749,50,0,300,0,0,0,0,0,0,0,0
67,23,27,0,0,112,114,0,0,24,37166,18686,50,0,300,0,0,0,0,0,0,0,0
68,23,27,0,0,112,114,0,0,24,41638,15819,50,0,300,0,0,0,0,0,0,0,0
69,23,27,0,0,120,114,0,0,24,43350,13819,50,0,300,0,0,0,0,0,0,0,0
70,23,27,0,0,124,114,0,0,24,49437,11366,50,0,300,0,0,0,0,0,0,0,0
71,23,27,0,0,132,114,0,0,25,58089,9573,50,0,300,0,0,0,0,0,0,0,0
72,23,27,0,0,136,116,0,0,25,71284,8907,50,0,300,0,0,0,0,0,0,0,0
73,23,27,0,0,136,118,0,0,25,79497,7859,50,0,300,0,0,0,0,0,0,0,0
74,23,27,0,0,138,122,0,0,25,95097,7063,50,0,300,0,0,0,0,0,0,0,0
75,23,27,0,0,138,124,0,0,25,121591,5877,50,0,300,0,0,0,0,0,0,0,0
76,23,27,0,0,142,124,0,0,25,138446,5188,50,0,300,0,0,0,0,0,0,0,0
77,23,27,0,0,142,124,0,0,26,157891,4519,50,0,300,0,0,0,0,0,0,0,0
78,23,27,0,0,146,126,0,0,26,197454,3797,50,0,300,0,0,0,0,0,0,0,0
79,23,27,0,0,148,126,0,0,27,242303,3220,50,0,300,0,0,0,0,0,0,0,0
80,23,27,0,0,148,126,0,0,27,271460,2682,50,0,300,0,0,0,0,0,0,0,0
81,23,27,0,0,150,126,0,0,28,311634,2262,50,0,300,0,0,0,0,0,0,0,0
82,23,27,0,0,152,126,0,0,28,354914,1982,50,0,300,0,0,0,0,0,0,0,0
83,23,27,0,0,152,126,0,0,28,425830,1840,50,0,300,0,0,0,0,0,0,0,0
84,23,27,0,0,154,126,0,0,28,505442,1492,50,0,300,0,0,0,0,0,0,0,0
85,23,27,0,0,158,126,0,0,29,574754,1281,50,0,300,0,0,0,0,0,0,0,0
86,23,27,0,0,160,128,0,0,29,674232,1149,50,0,300,0,0,0,0,0,0,0,0
87,23,27,0,0,164,128,0,0,30,650352,1235,50,0,300,0,0,0,0,0,0,0,0
88,23,27,0,0,166,134,0,0,30,596900,1343,50,0,300,0,0,0,0,0,0,0,0
89,23,27,0,0,172,134,0,0,31,573934,1428,50,0,300,0,0,0,0,0,0,0,0
90,23,27,0,0,172,134,0,0,31,523627,1485,50,0,300,0,0,0,0,0,0,0,0
91,23,27,0,0,174,138,0,0,31,495182,1578,50,0,300,0,0,0,0,0,0,0,0
92,23,27,0,0,174,138,0,0,31,475494,1662,50,0,300,0,0,0,0,0,0,0,0
93,23,27,0,0,176,138,0,0,31,446401,1757,50,0,300,0,0,0,0,0,0,0,0
94,23,27,0,0,180,138,0,0,31,405984,1822,50,0,300,0,0,0,0,0,0,0,0
95,23,27,0,0,186,138,0,0,32,399159,1959,50,0,300,0,0,0,0,0,0,0,0
96,23,27,0,0,188,138,0,0,32,393624,2027,50,0,300,0,0,0,0,0,0,0,0
97,23,27,0,0,192,140,0,0,33,377029,2118,50,0,300,0,0,0,0,0,0,0,0
98,23,27,0,0,194,142,0,0,33,373223,2254,50,0,300,0,0,0,0,0,0,0,0
99,23,27,0,0,196,144,0,0,33,355848,2390,50,0,300,0,0,0,0,0,0,0,0
100,23,27,0,0,196,146,0,0,33,345132,2565,50,0,300,0,0,0,0,0,0,0,0
101,23,27,0,0,200,152,0,0,34,331210,2713,50,0,300,0,0,0,0,0,0,0,0
102,23,27,0,0,200,154,0,0,34,309380,2878,50,0,300,0,0,0,0,0,0,0,0
103,23,27,0,0,200,160,0,0,34,294557,3045,50,0,300,0,0,0,0,0,0,0,0
104,23,27,0,0,200,160,0,0,34,279574,3208,50,0,300,0,0,0,0,0,0,0,0
105,23,27,0,0,200,162,0,0,35,258047,3422,50,0,300,0,0,0,0,0,0,0,0
106,23,27,0,0,202,162,0,0,35,242706,3663,50,0,300,0,0,0,0,0,0,0,0
107,23,27,0,0,204,162,0,0,35,228531,3994,50,0,300,0,0,0,0,0,0,0,0
108,23,27,0,0,204,164,0,0,35,221029,4248,50,0,300,0,0,0,0,0,0,0,0
109,23,27,0,0,204,168,0,0,35,223546,4498,50,0,300,0,0,0,0,0,0,0,0
110,23,27,0,0,206,168,0,0,35,222119,4689,50,0,300,0,0,0,0,0,0,0,0
111,23,27,0,0,206,172,0,0,35,220907,4957,50,0,300,0,0,0,0,0,0,0,0
112,23,27,0,0,208,172,0,0,35,204583,5201,50,0,300,0,0,0,0,0,0,0,0
113,23,27,0,0,212,172,0,0,35,195856,5351,50,0,300,0,0,0,0,0,0,0,0
114,23,27,0,0,212,172,0,0,35,197373,5733,50,0,300,0,0,0,0,0,0,0,0
115,23,27,0,0,214,172,0,0,35,185428,6152,50,0,300,0,0,0,0,0,0,0,0
116,23,27,0,0,216,172,0,0,35,186381,6596,50,0,300,0,0,0,0,0,0,0,0
117,23,27,0,0,216,176,0,0,36,189883,6959,50,0,300,0,0,0,0,0,0,0,0
118,23,27,0,0,218,176,0,0,36,189874,7386,50,0,300,0,0,0,0,0,0,0,0
119,23,27,0,0,218,180,0,0,36,183152,7863,50,0,300,0,0,0,0,0,0,0,0
120,23,27,0,0,220,180,0,0,36,175382,8486,50,0,300,0,0,0,0,0,0,0,0
121,23,27,0,0,220,180,0,0,37,170244,9079,50,0,300,0,0,0,0,0,0,0,0
122,23,27,0,0,222,180,0,0,37,167201,9626,50,0,300,0,0,0,0,0,0,0,0
123,23,27,0,0,224,180,0,0,38,154937,10191,50,0,300,0,0,0,0,0,0,0,0
124,23,27,0,0,226,180,0,0,38,143852,11141,50,0,300,0,0,0,0,0,0,0,0
125,23,27,0,0,228,180,0,0,38,136816,11715,50,0,300,0,0,0,0,0,0,0,0
126,23,27,0,0,230,184,0,0,38,130636,12384,50,0,300,0,0,0,0,0,0,0,0
127,23,27,0,0,232,188,0,0,39,125900,13532,50,0,300,0,0,0,0,0,0,0,0
128,23,27,0,0,232,190,0,0,39,116535,14384,50,0,300,0,0,0,0,0,0,0,0
129,23,27,0,0,232,192,0,0,39,114818,15201,50,0,300,0,0,0,0,0,0,0,0
130,23,27,0,0,232,194,0,0,39,108978,16000,50,0,300,0,0,0,0,0,0,0,0
131,23,27,0,0,232,194,0,0,39,106577,17448,50,0,300,0,0,0,0,0,0,0,0
132,23,27,0,0,231,198,0,0,39,105446,18500,50,0,300,0,0,0,0,0,0,0,0
133,23,27,0,0,231,200,0,0,39,101979,19773,50,0,300,0,0,0,0,0,0,0,0
134,23,27,0,0,233,200,0,0,39,96997,20799,50,0,300,0,0,0,0,0,0,0,0
135,23,27,0,0,235,204,0,0,40,90538,21772,50,0,300,0,0,0,0,0,0,0,0
136,23,27,0,0,235,202,0,1,40,91908,22830,50,0,300,0,0,0,0,0,0,0,0
137,23,27,0,0,235,208,0,1,40,86770,23615,50,0,300,0,0,0,0,0,0,0,0
138,23,27,0,0,239,212,0,1,40,80354,25166,50,0,300,0,0,0,0,0,0,0,0
139,23,27,0,0,241,214,0,1,40,76265,26809,50,0,300,0,0,0,0,0,0,0,0
140,23,27,0,0,241,216,0,1,40,72130,28125,50,0,300,0,0,0,0,0,0,0,0
141,23,27,0,0,241,220,0,1,40,69707,29863,50,0,300,0,0,0,0,0,0,0,0
142,23,27,0,0,241,222,0,1,40,67209,31647,50,0,300,0,0,0,0,0,0,0,0
143,23,27,0,0,241,226,0,1,41,63495,33057,50,0,300,0,0,0,0,0,0,0,0
144,23,27,0,0,243,230,0,1,41,60332,36284,50,0,300,0,0,0,0,0,0,0,0
145,23,27,0,0,243,232,0,1,42,57797,39064,50,0,300,0,0,0,0,0,0,0,0
146,23,27,0,0,243,234,0,1,42,55488,41381,50,0,300,0,0,0,0,0,0,0,0
147,21,29,0,0,239,236,1,1,40,54273,44744,50,0,300,0,0,0,0,0,0,0,0
148,21,29,0,0,241,240,1,1,40,51934,48165,50,0,300,0,0,0,0,0,0,0,0
149,20,30,0,0,243,242,1,1,39,49105,51186,50,0,300,0,0,0,0,0,0,0,0
150,20,30,0,0,243,242,1,1,39,45471,54368,50,0,300,0,0,0,0,0,0,0,0
151,20,30,0,0,247,248,1,1,39,42768,56979,50,0,300,0,0,0,0,0,0,0,0
152,20,30,0,0,251,250,1,1,39,40188,59059,50,0,300,0,0,0,0,0,0,0,0
153,20,30,0,0,253,252,1,1,39,38086,63703,50,0,300,0,0,0,0,0,0,0,0
154,20,30,0,0,255,254,1,1,39,36476,68934,50,0,300,0,0,0,0,0,0,0,0
155,20,30,0,0,255,256,1,1,39,35524,71762,50,0,300,0,0,0,0,0,0,0,0
156,20,30,0,0,259,258,1,1,39,33758,73757,50,0,300,0,0,0,0,0,0,0,0
157,20,30,0,0,261,258,1,1,39,32066,78724,50,0,300,0,0,0,0,0,0,0,0
158,20,30,0,0,261,260,1,1,39,30514,83577,50,0,300,0,0,0,0,0,0,0,0
159,18,32,0,0,261,260,1,1,37,29840,89146,50,0,300,0,0,0,0,0,0,0,0
160,18,32,0,0,263,264,1,1,37,28823,95638,50,0,300,0,0,0,0,0,0,0,0
161,16,34,0,0,263,264,1,2,35,28756,103587,50,0,300,0,0,0,0,0,0,0,0
162,16,34,0,0,263,268,1,1,35,28022,108386,50,0,300,0,0,0,0,0,1,0,0
163,16,34,0,0,265,270,1,1,35,27188,115872,50,0,300,0,0,0,0,0,1,0,0
164,16,34,0,0,265,272,1,1,35,25153,122968,50,0,300,0,0,0,0,0,1,0,0
165,15,35,0,0,267,274,1,1,34,24393,131205,50,0,300,0,0,0,0,0,1,0,0
166,15,35,0,0,269,276,1,1,34,23015,135246,50,0,300,0,0,0,0,0,1,0,0
167,13,37,0,0,269,280,1,1,32,20841,142914,50,0,300,0,0,0,0,0,1,0,0
168,13,37,0,0,269,280,1,1,32,19666,153507,50,0,300,0,0,0,0,0,1,0,0
169,12,38,0,0,269,282,1,1,31,18782,161159,50,0,300,0,0,0,0,0,1,0,0
170,12,38,0,0,273,288,1,1,31,17180,171360,50,0,300,0,0,0,0,0,1,0,0
171,11,39,0,0,277,288,1,1,30,16242,186730,50,0,300,0,0,0,0,0,1,0,0
172,11,39,0,0,283,288,1,1,30,15575,201360,50,0,300,0,0,0,0,0,1,0,0
173,9,41,0,0,285,296,1,1,28,19538,167302,50,0,300,0,0,0,0,0,1,0,0
174,9,41,0,0,287,300,1,1,28,22500,140314,50,0,300,0,0,0,0,0,1,0,0
175,7,43,0,0,293,302,1,1,26,26939,120650,50,0,300,0,0,0,0,0,1,0,0
176,7,43,0,0,295,308,1,1,26,32123,101346,50,0,300,0,0,0,0,0,1,0,0
177,6,44,0,0,293,312,2,1,25,39014,83343,50,0,300,0,0,0,0,0,1,0,0
178,6,44,0,0,295,318,2,1,25,46329,74084,50,0,300,0,0,0,0,0,1,0,0
179,4,46,0,0,297,318,2,1,23,54228,65359,50,0,300,0,0,0,0,0,1,0,0
180,4,46,0,0,297,320,2,1,23,60832,58752,50,0,300,0,0,0,0,0,1,0,0
181,4,46,0,0,301,320,2,1,23,70023,48295,50,0,300,0,0,0,0,0,1,0,0
182,4,46,0,0,303,320,2,1,23,83621,40438,50,0,300,0,0,0,0,0,1,0,0
