tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,0,0,0,0,0,0,50,28670,10516,50,0,300,0,0,0,0,0,0,0,0
2,50,0,0,0,0,0,0,0,50,27685,10916,50,0,300,0,0,0,0,0,0,0,0
3,50,0,0,0,0,0,0,0,50,27515,11903,50,0,300,0,0,0,0,0,0,0,0
4,50,0,0,0,0,0,0,0,50,27493,12377,50,0,300,0,0,0,0,0,0,0,0
5,50,0,0,0,0,0,0,0,50,25927,12750,50,0,300,0,0,0,0,0,0,0,0
6,50,0,0,0,0,0,0,0,50,24331,13824,50,0,300,0,0,0,0,0,0,0,0
7,50,0,0,0,0,0,0,0,50,22792,14351,50,0,300,0,0,0,0,0,0,0,0
8,50,0,0,0,0,0,0,0,50,21759,15506,50,0,300,0,0,0,0,0,0,0,0
9,50,0,0,0,0,0,0,0,50,21776,16238,50,0,300,0,0,0,0,0,0,0,0
10,50,0,0,0,0,0,0,0,50,21817,17022,50,0,300,0,0,0,0,0,0,0,0
11,50,0,0,0,0,0,0,0,50,20766,18342,50,0,300,0,0,0,0,0,0,0,0
12,50,0,0,0,0,0,0,0,50,19703,19049,50,0,300,0,0,0,0,0,0,0,0
13,49,1,0,0,0,0,0,0,49,17814,19579,50,0,300,0,0,0,0,0,0,0,0
14,49,1,0,0,2,0,0,0,49,16595,20601,50,0,300,0,0,0,0,0,0,0,0
15,48,2,0,0,2,2,0,0,48,15280,21471,50,0,300,0,0,0,0,0,0,0,0
16,48,2,0,0,2,4,0,0,48,14890,23031,50,0,300,0,0,0,0,0,0,0,0
17,48,2,0,0,4,4,0,0,48,14305,24161,50,0,300,0,0,0,0,0,0,0,0
18,48,2,0,0,4,4,0,0,48,13205,25440,50,0,300,0,0,0,0,0,0,0,0
19,47,3,0,0,4,4,0,0,47,12786,26822,50,0,300,0,0,0,0,0,0,0,0
20,47,3,0,0,8,4,0,0,47,12374,28628,50,0,300,0,0,0,0,0,0,0,0
21,45,5,0,0,10,8,0,0,45,11572,30177,50,0,300,0,0,0,0,0,0,0,0
22,45,5,0,0,10,8,0,0,45,11698,32036,50,0,300,0,0,0,0,0,0,0,0
23,43,7,0,0,10,8,0,0,43,11634,33751,50,0,300,0,0,0,0,0,0,0,0
24,43,7,0,0,10,10,0,0,43,11412,36210,50,0,300,0,0,0,0,0,0,0,0
25,43,7,0,0,16,10,0,0,43,11028,39036,50,0,300,0,0,0,0,0,0,0,0
26,43,7,0,0,20,10,0,0,43,10372,41789,50,0,300,0,0,0,0,0,0,0,0
27,41,9,0,0,20,10,0,0,41,10141,44582,50,0,300,0,0,0,0,0,0,0,0
28,41,9,0,0,22,14,0,0,41,10253,47325,50,0,300,0,0,0,0,0,0,0,0
29,41,9,0,0,22,18,0,0,41,10183,51249,50,0,300,0,0,0,0,0,0,0,0
30,41,9,0,0,28,20,0,0,41,9659,54456,50,0,300,0,0,0,0,0,0,0,0
31,39,11,0,0,34,20,0,0,39,9114,56604,50,0,300,0,0,0,0,0,0,0,0
32,39,11,0,0,36,20,0,0,39,9026,59418,50,0,300,0,0,0,0,0,0,0,0
33,38,12,0,0,36,24,0,0,38,8890,64253,50,0,300,0,0,0,0,0,0,0,0
34,38,12,0,0,38,26,0,0,38,8903,67850,50,0,300,0,0,0,0,0,0,0,0
35,38,12,0,0,38,30,0,0,38,8677,72580,50,0,300,0,0,0,0,0,0,0,0
36,38,12,0,0,40,30,0,0,38,7973,75666,50,0,300,0,0,0,0,0,0,0,0
37,36,14,0,0,42,34,0,0,36,7546,77915,50,0,300,0,0,0,0,0,0,0,0
