tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,0,0,0,0,0,0,50,28477,10581,50,0,300,0,0,0,0,0,0,0,0
2,50,0,0,0,0,0,0,0,50,27579,11350,50,0,300,0,0,0,0,0,0,0,0
3,50,0,0,0,0,0,0,0,50,26256,12127,50,0,300,0,0,0,0,0,0,0,0
4,50,0,0,0,0,0,0,0,50,24610,12682,50,0,300,0,0,0,0,0,0,0,0
5,50,0,0,0,0,0,0,0,50,23004,13515,50,0,300,0,0,0,0,0,0,0,0
6,50,0,0,0,0,0,0,0,50,22771,14091,50,0,300,0,0,0,0,0,0,0,0
7,50,0,0,0,0,0,0,0,50,21670,15138,50,0,300,0,0,0,0,0,0,0,0
8,50,0,0,0,0,0,0,0,50,22176,15767,50,0,300,0,0,0,0,0,0,0,0
9,50,0,0,0,0,0,0,0,50,21040,16723,50,0,300,0,0,0,0,0,0,0,0
10,50,0,0,0,0,0,0,0,50,18810,18324,50,0,300,0,0,0,0,0,0,0,0
11,49,1,0,0,0,0,0,0,49,18146,19581,50,0,300,0,0,0,0,0,0,0,0
12,49,1,0,0,2,0,0,0,49,16560,20657,50,0,300,0,0,0,0,0,0,0,0
13,47,3,0,0,2,0,0,0,47,16248,21876,50,0,300,0,0,0,0,0,0,0,0
14,47,3,0,0,2,2,0,0,47,15303,23855,50,0,300,0,0,0,0,0,0,0,0
15,47,3,0,0,4,2,0,0,47,14525,25241,50,0,300,0,0,0,0,0,0,0,0
16,47,3,0,0,4,2,0,0,47,14421,27558,50,0,300,0,0,0,0,0,0,0,0
17,47,3,0,0,4,4,0,0,47,13842,29886,50,0,300,0,0,0,0,0,0,0,0
18,47,3,0,0,8,4,0,0,47,12889,31603,50,0,300,0,0,0,0,0,0,0,0
19,46,4,0,0,8,4,0,0,46,13001,33113,50,0,300,0,0,0,0,0,0,0,0
20,46,4,0,0,8,4,0,0,46,12880,35076,50,0,300,0,0,0,0,0,0,0,0
21,44,6,0,0,8,8,0,0,44,12064,37032,50,0,300,0,0,0,0,0,0,0,0
22,44,6,0,0,8,8,0,0,44,10915,39084,50,0,300,0,0,0,0,0,0,0,0
23,42,8,0,0,8,12,0,0,42,10190,40633,50,0,300,0,0,0,0,0,0,0,0
24,42,8,0,0,10,12,0,0,42,9652,42872,50,0,300,0,0,0,0,0,0,0,0
25,42,8,0,0,12,16,0,0,42,8841,45167,50,0,300,0,0,0,0,0,0,0,0
26,42,8,0,0,12,16,0,0,42,8061,47288,50,0,300,0,0,0,0,0,0,0,0
27,41,9,0,0,14,16,0,0,41,7657,52114,50,0,300,0,0,0,0,0,0,0,0
28,41,9,0,0,14,18,0,0,41,7519,55114,50,0,300,0,0,0,0,0,0,0,0
29,40,10,0,0,16,18,0,0,40,7122,58125,50,0,300,0,0,0,0,0,0,0,0
30,40,10,0,0,18,18,0,0,40,7177,61165,50,0,300,0,0,0,0,0,0,0,0
31,40,10,0,0,22,18,0,0,40,7194,64800,50,0,300,0,0,0,0,0,0,0,0
32,40,10,0,0,24,18,0,0,40,6529,67390,50,0,300,0,0,0,0,0,0,0,0
33,39,11,0,0,24,20,0,0,39,5889,72145,50,0,300,0,0,0,0,0,0,0,0
34,39,11,0,0,24,24,0,0,39,5406,76000,50,0,300,0,0,0,0,0,0,0,0
