tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,0,0,0,0,0,0,50,27545,10440,50,0,300,0,0,0,0,0,0,0,0
2,50,0,0,0,0,0,0,0,50,25585,11265,50,0,300,0,0,0,0,0,0,0,0
3,50,0,0,0,0,0,0,0,50,23447,12062,50,0,300,0,0,0,0,0,0,0,0
4,50,0,0,0,0,0,0,0,50,21472,12458,50,0,300,0,0,0,0,0,0,0,0
5,50,0,0,0,0,0,0,0,50,19794,13500,50,0,300,0,0,0,0,0,0,0,0
6,50,0,0,0,0,0,0,0,50,18736,14374,50,0,300,0,0,0,0,0,0,0,0
7,49,1,0,0,2,0,0,0,49,18212,15205,50,0,300,0,0,0,0,0,0,0,0
8,49,1,0,0,2,0,0,0,49,16207,16168,50,0,300,0,0,0,0,0,0,0,0
9,47,3,0,0,4,2,0,0,47,15651,17304,50,0,300,0,0,0,0,0,0,0,0
10,47,3,0,0,4,6,0,0,47,14766,18372,50,0,300,0,0,0,0,0,0,0,0
11,47,3,0,0,4,6,0,0,47,13325,19761,50,0,300,0,0,0,0,0,0,0,0
12,47,3,0,0,6,6,0,0,47,12044,21526,50,0,300,0,0,0,0,0,0,0,0
13,45,5,0,0,6,8,0,0,45,11098,23901,50,0,300,0,0,0,0,0,0,0,0
14,45,5,0,0,8,8,0,0,45,10378,25537,50,0,300,0,0,0,0,0,0,0,0
15,45,5,0,0,8,8,0,0,45,9666,27290,50,0,300,0,0,0,0,0,0,0,0
16,45,5,0,0,10,8,0,0,45,8798,29436,50,0,300,0,0,0,0,0,0,0,0
17,43,7,0,0,12,14,0,0,43,7847,31553,50,0,300,0,0,0,0,0,0,0,0
18,43,7,0,0,12,16,0,0,43,6962,34011,50,0,300,0,0,0,0,0,0,0,0
19,43,7,0,0,16,16,0,0,43,6507,35798,50,0,300,0,0,0,0,0,0,0,0
20,43,7,0,0,16,18,0,0,43,6175,38459,50,0,300,0,0,0,0,0,0,0,0
21,42,8,0,0,20,22,0,0,42,5789,40926,50,0,300,0,0,0,0,0,0,0,0
22,42,8,0,0,20,26,0,0,42,5309,45006,50,0,300,0,0,0,0,0,0,0,0
23,40,10,0,0,20,26,0,0,40,4844,47573,50,0,300,0,0,0,0,0,0,0,0
24,40,10,0,0,20,26,0,0,40,4612,50867,50,0,300,0,0,0,0,0,0,0,0
25,39,11,0,0,26,26,0,0,39,4232,54029,50,0,300,0,0,0,0,0,0,0,0
26,39,11,0,0,32,28,0,0,39,3917,58498,50,0,300,0,0,0,0,0,0,0,0
27,39,11,0,0,34,30,0,0,39,3729,61034,50,0,300,0,0,0,0,0,0,0,0
28,39,11,0,0,34,38,0,0,39,3555,64726,50,0,300,0,0,0,0,0,0,0,0
29,37,13,0,0,36,40,0,0,37,3254,68570,50,0,300,0,0,0,0,0,0,0,0
30,37,13,0,0,36,44,0,0,37,2949,70929,50,0,300,0,0,0,0,0,0,0,0
31,36,14,0,0,44,46,0,0,36,2817,74899,50,0,300,0,0,0,0,0,0,0,0
32,36,14,0,0,46,54,0,0,36,2598,80098,50,0,300,0,0,0,0,0,0,0,0
33,35,15,0,0,50,56,0,0,35,2293,86582,50,0,300,0,0,0,0,0,0,0,0
34,35,15,0,0,54,62,0,0,35,2128,90359,50,0,300,0,0,0,0,0,0,0,0
35,34,16,0,0,56,64,0,0,34,2016,95831,50,0,300,0,0,0,0,0,0,0,0
36,34,16,0,0,58,68,0,0,34,1800,103876,50,0,300,0,0,0,0,0,0,0,0
37,32,18,0,0,64,72,0,0,32,1690,106603,50,0,300,0,0,0,0,0,0,0,0
38,32,18,0,0,68,76,0,0,32,1513,117101,50,0,300,0,0,0,0,0,0,0,0
39,32,18,0,0,74,84,0,0,32,1380,123530,50,0,300,0,0,0,0,0,0,0,0
40,32,18,0,0,76,88,0,0,32,1302,131229,50,0,300,0,0,0,0,0,0,0,0
41,32,18,0,0,80,92,0,0,32,1223,141116,50,0,300,0,0,0,0,0,0,0,0
42,32,18,0,0,80,94,0,0,32,1174,154513,50,0,300,0,0,0,0,0,0,0,0
43,31,19,0,0,82,98,0,0,31,1107,165640,50,0,300,0,0,0,0,0,0,0,0
44,31,19,0,0,82,100,0,0,31,1041,176482,50,0,300,0,0,0,0,0,0,0,0
45,29,21,0,0,84,100,0,0,29,966,188113,50,0,300,0,0,0,0,0,0,0,0
46,29,21,0,0,86,104,0,0,29,1151,160941,50,0,300,0,0,0,0,0,0,0,0
47,28,22,0,0,90,108,0,0,28,1357,140241,50,0,300,0,0,0,0,0,0,0,0
48,28,22,0,0,90,110,0,0,28,1497,123856,50,0,300,0,0,0,0,0,0,0,0
49,28,22,0,0,94,110,0,0,28,1725,114917,50,0,300,0,0,0,0,0,0,0,0
50,28,22,0,0,98,112,0,0,28,1839,104471,50,0,300,0,0,0,0,0,0,0,0
51,26,24,0,0,104,118,0,0,26,2263,90096,50,0,300,0,0,0,0,0,0,0,0
52,26,24,0,0,110,116,0,1,26,2500,74541,50,0,300,0,0,0,0,0,0,0,0
53,25,25,0,0,116,120,0,1,25,2756,68522,50,0,300,0,0,0,0,0,0,0,0
54,25,25,0,0,118,122,0,1,25,3188,61965,50,0,300,0,0,0,0,0,0,0,0
55,25,25,0,0,126,124,0,1,25,3462,54553,50,0,300,0,0,0,0,0,0,0,0
56,25,25,0,0,132,126,0,1,25,3889,49592,50,0,300,0,0,0,0,0,0,0,0
57,25,25,0,0,138,130,0,1,25,4708,44349,50,0,300,0,0,0,0,0,0,0,0
58,25,25,0,0,140,130,0,1,25,5453,40290,50,0,300,0,0,0,0,0,0,0,0
59,25,25,0,0,146,132,0,1,25,6193,35120,50,0,300,0,0,0,0,0,0,0,0
60,25,25,0,0,146,136,0,1,25,7566,29756,50,0,300,0,0,0,0,0,0,0,0
61,23,27,0,0,148,136,0,1,23,8353,26851,50,0,300,0,0,0,0,0,0,0,0
62,23,27,0,0,150,138,0,1,23,8734,23360,50,0,300,0,0,0,0,0,0,0,0
63,23,27,0,0,154,140,0,1,23,10914,19780,50,0,300,0,0,0,0,0,0,0,0
64,23,27,0,0,154,148,0,1,23,11402,17690,50,0,300,0,0,0,0,0,0,0,0
65,23,27,0,0,154,154,0,1,23,13145,15184,50,0,300,0,0,0,0,0,0,0,0
66,23,27,0,0,158,154,0,1,23,14963,14412,50,0,300,0,0,0,0,0,0,0,0
67,22,28,0,0,158,154,0,1,22,17531,12769,50,0,300,0,0,0,0,0,0,0,0
68,22,28,0,0,160,156,0,1,22,18684,11472,50,0,300,0,0,0,0,0,0,0,0
69,22,28,0,0,164,156,0,1,22,22959,10537,50,0,300,0,0,0,0,0,0,0,0
70,22,28,0,0,170,160,0,1,22,25987,9294,50,0,300,0,0,0,0,0,0,0,0
71,22,28,0,0,172,168,0,1,22,30036,7949,50,0,300,0,0,0,0,0,0,0,0
72,22,28,0,0,174,174,0,1,22,33375,7316,50,0,300,0,0,0,0,0,0,0,0
73,22,28,0,0,176,174,0,1,22,39302,6441,50,0,300,0,0,0,0,0,0,0,0
74,22,28,0,0,178,176,0,1,22,44672,5559,50,0,300,0,0,0,0,0,0,0,0
75,22,28,0,0,178,178,0,1,22,52589,4610,50,0,300,0,0,0,0,0,0,0,0
76,22,28,0,0,180,178,0,1,22,61982,4190,50,0,300,0,0,0,0,0,0,0,0
77,22,28,0,0,182,180,0,1,22,74078,3856,50,0,300,0,0,0,0,0,0,0,0
78,22,28,0,0,186,182,0,1,22,81682,3336,50,0,300,0,0,0,0,0,0,0,0
79,22,28,0,0,186,182,0,1,22,89419,3116,50,0,300,0,0,0,0,0,0,0,0
80,22,28,0,0,192,182,0,1,22,100915,2767,50,0,300,0,0,0,0,0,0,0,0
81,22,28,0,0,194,180,0,2,22,118562,2341,50,0,300,0,0,0,0,0,0,0,0
82,22,28,0,0,194,180,0,2,22,123347,2093,50,0,300,0,0,0,0,0,0,0,0
83,22,28,0,0,196,180,0,2,22,134418,1922,50,0,300,0,0,0,0,0,0,0,0
84,22,28,0,0,202,184,0,2,22,147856,1675,50,0,300,0,0,0,0,0,0,0,0
85,22,28,0,0,204,188,0,2,22,161148,1449,50,0,300,0,0,0,0,0,0,0,0
86,22,28,0,0,208,188,0,2,22,181933,1209,50,0,300,0,0,0,0,0,0,0,0
87,22,28,0,0,208,190,0,2,22,197859,1044,50,0,300,0,0,0,0,0,0,0,0
88,22,28,0,0,210,192,0,2,22,218140,936,50,0,300,0,0,0,0,0,0,0,0
89,22,28,0,0,212,198,0,2,22,254120,841,50,0,300,0,0,0,0,0,0,0,0
90,22,28,0,0,216,200,0,2,22,301796,748,50,0,300,0,0,0,0,0,0,0,0
91,22,28,0,0,220,200,0,2,22,325539,683,50,0,300,0,0,0,0,0,0,0,0
92,22,28,0,0,220,202,0,2,22,370244,583,50,0,300,0,0,0,0,0,0,0,0
93,22,28,0,0,220,204,0,2,22,421575,493,50,0,300,0,0,0,0,0,0,0,0
94,22,28,0,0,222,204,0,2,22,451240,432,50,0,300,0,0,0,0,0,0,0,0
95,22,28,0,0,224,206,0,2,22,540121,388,50,0,300,0,0,0,0,0,0,0,0
96,22,28,0,0,224,210,0,2,22,641558,347,50,0,300,0,0,0,0,0,0,0,0
97,22,28,0,0,222,212,1,2,23,682952,306,50,0,300,0,0,0,0,0,0,0,0
98,22,28,0,0,224,216,1,2,23,789712,273,50,0,300,0,0,0,0,0,0,0,0
99,22,28,0,0,226,216,1,2,23,854663,248,50,0,300,0,0,0,0,0,0,0,0
100,22,28,0,0,228,218,1,2,23,945427,205,50,0,300,0,0,0,0,0,0,0,0
101,22,28,0,0,230,216,1,3,24,1060207,185,50,0,300,0,0,0,0,0,0,0,0
102,22,28,0,0,232,216,1,3,24,1203210,165,50,0,300,0,0,0,0,0,0,0,0
103,22,28,0,0,234,216,1,3,24,1392560,156,50,0,300,0,0,0,0,0,0,0,0
104,22,28,0,0,240,216,1,3,24,1639960,139,50,0,300,0,0,0,0,0,0,0,0
105,22,28,0,0,242,218,1,3,25,1837934,127,50,0,300,0,0,0,0,0,0,0,0
106,22,28,0,0,245,218,1,2,25,2035404,110,50,0,300,0,0,0,0,0,1,0,0
107,22,28,0,0,245,218,1,2,26,2257432,97,49,1,300,0,0,0,0,0,1,1,0
108,22,28,0,0,243,218,2,2,26,2648213,89,49,1,0,300,0,137,0,163,1,2,0
109,22,28,0,0,243,220,2,2,26,3088053,85,49,1,0,0,300,137,0,163,1,3,0
