tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,0,0,0,0,0,0,50,26313,10705,50,0,300,0,0,0,0,0,0,0,0
2,50,0,0,0,0,0,0,0,50,24998,11535,50,0,300,0,0,0,0,0,0,0,0
3,50,0,0,0,0,0,0,0,50,22875,12376,50,0,300,0,0,0,0,0,0,0,0
4,50,0,0,0,0,0,0,0,50,21518,12985,50,0,300,0,0,0,0,0,0,0,0
5,49,1,0,0,0,0,0,0,49,19736,13914,50,0,300,0,0,0,0,0,0,0,0
6,49,1,0,0,2,0,0,0,49,18588,14875,50,0,300,0,0,0,0,0,0,0,0
7,47,3,0,0,2,0,0,0,47,17799,15647,50,0,300,0,0,0,0,0,0,0,0
8,47,3,0,0,6,0,0,0,47,16645,16506,50,0,300,0,0,0,0,0,0,0,0
9,47,3,0,0,6,2,0,0,47,16229,17465,50,0,300,0,0,0,0,0,0,0,0
10,47,3,0,0,6,2,0,0,47,15595,18935,50,0,300,0,0,0,0,0,0,0,0
11,45,5,0,0,6,2,0,0,45,14859,20236,50,0,300,0,0,0,0,0,0,0,0
12,45,5,0,0,6,4,0,0,45,13866,21918,50,0,300,0,0,0,0,0,0,0,0
13,44,6,0,0,8,4,0,0,44,12953,23573,50,0,300,0,0,0,0,0,0,0,0
14,44,6,0,0,8,6,0,0,44,12020,25578,50,0,300,0,0,0,0,0,0,0,0
15,44,6,0,0,8,10,0,0,44,11414,27581,50,0,300,0,0,0,0,0,0,0,0
16,44,6,0,0,8,10,0,0,44,10489,29190,50,0,300,0,0,0,0,0,0,0,0
17,43,7,0,0,10,14,0,0,43,9651,31528,50,0,300,0,0,0,0,0,0,0,0
18,43,7,0,0,10,16,0,0,43,8707,33420,50,0,300,0,0,0,0,0,0,0,0
19,42,8,0,0,10,18,0,0,42,8047,35317,50,0,300,0,0,0,0,0,0,0,0
20,42,8,0,0,12,20,0,0,42,7575,37596,50,0,300,0,0,0,0,0,0,0,0
21,41,9,0,0,12,22,0,0,41,7093,40721,50,0,300,0,0,0,0,0,0,0,0
22,41,9,0,0,14,22,0,0,41,6443,45065,50,0,300,0,0,0,0,0,0,0,0
23,39,11,0,0,16,24,0,0,39,6173,48432,50,0,300,0,0,0,0,0,0,0,0
24,39,11,0,0,24,24,0,0,39,5481,53729,50,0,300,0,0,0,0,0,0,0,0
25,39,11,0,0,30,24,0,0,39,5009,57217,50,0,300,0,0,0,0,0,0,0,0
26,39,11,0,0,30,26,0,0,39,4528,60928,50,0,300,0,0,0,0,0,0,0,0
27,39,11,0,0,34,28,0,0,39,4028,65530,50,0,300,0,0,0,0,0,0,0,0
28,39,11,0,0,34,28,0,0,39,3630,69840,50,0,300,0,0,0,0,0,0,0,0
29,37,13,0,0,34,28,0,0,37,3511,74677,50,0,300,0,0,0,0,0,0,0,0
30,37,13,0,0,34,28,0,0,37,3479,81268,50,0,300,0,0,0,0,0,0,0,0
31,37,13,0,0,36,28,0,0,37,3161,87424,50,0,300,0,0,0,0,0,0,0,0
32,37,13,0,0,38,28,0,0,37,2962,94870,50,0,300,0,0,0,0,0,0,0,0
33,35,15,0,0,38,32,0,0,35,2686,100019,50,0,300,0,0,0,0,0,0,0,0
34,35,15,0,0,38,34,0,0,35,2540,108042,50,0,300,0,0,0,0,0,0,0,0
35,33,17,0,0,40,34,0,0,33,2375,115607,50,0,300,0,0,0,0,0,0,0,0
36,33,17,0,0,40,38,0,0,33,2325,122469,50,0,300,0,0,0,0,0,0,0,0
37,33,17,0,0,42,38,0,0,33,2274,133723,50,0,300,0,0,0,0,0,0,0,0
38,33,17,0,0,48,40,0,0,33,2099,144090,50,0,300,0,0,0,0,0,0,0,0
39,33,17,0,0,50,42,0,0,33,1854,154799,50,0,300,0,0,0,0,0,0,0,0
40,33,17,0,0,50,46,0,0,33,1704,161602,50,0,300,0,0,0,0,0,0,0,0
41,33,17,0,0,50,46,0,0,33,1563,168889,50,0,300,0,0,0,0,0,0,0,0
42,33,17,0,0,50,52,0,0,33,1487,184608,50,0,300,0,0,0,0,0,0,0,0
43,32,18,0,0,50,54,0,0,32,1331,203471,50,0,300,0,0,0,0,0,0,0,0
44,32,18,0,0,52,54,0,0,32,1249,223953,50,0,300,0,0,0,0,0,0,0,0
45,31,19,0,0,58,58,0,0,31,1149,251818,50,0,300,0,0,0,0,0,0,0,0
46,31,19,0,0,60,62,0,0,31,1055,268567,50,0,300,0,0,0,0,0,0,0,0
47,29,21,0,0,62,66,0,0,29,1217,237029,50,0,300,0,0,0,0,0,0,0,0
48,29,21,0,0,64,68,0,0,29,1310,197429,50,0,300,0,0,0,0,0,0,0,0
49,29,21,0,0,66,70,0,0,29,1568,172764,50,0,300,0,0,0,0,0,0,0,0
50,29,21,0,0,66,72,0,0,29,1840,157382,50,0,300,0,0,0,0,0,0,0,0
51,29,21,0,0,70,76,0,0,29,2066,139799,50,0,300,0,0,0,0,0,0,0,0
52,29,21,0,0,72,80,0,0,29,2229,120837,50,0,300,0,0,0,0,0,0,0,0
53,27,23,0,0,72,80,0,0,27,2516,105571,50,0,300,0,0,0,0,0,0,0,0
54,27,23,0,0,72,82,0,0,27,3067,93988,50,0,300,0,0,0,0,0,0,0,0
55,26,24,0,0,72,84,0,0,26,3639,79894,50,0,300,0,0,0,0,0,0,0,0
56,26,24,0,0,72,86,0,0,26,4085,70781,50,0,300,0,0,0,0,0,0,0,0
57,26,24,0,0,76,90,0,0,26,4823,58494,50,0,300,0,0,0,0,0,0,0,0
58,26,24,0,0,80,90,0,0,26,5487,53073,50,0,300,0,0,0,0,0,0,0,0
59,26,24,0,0,84,94,0,0,26,6115,47382,50,0,300,0,0,0,0,0,0,0,0
60,26,24,0,0,84,100,0,0,26,7053,42081,50,0,300,0,0,0,0,0,0,0,0
61,25,25,0,0,84,102,0,0,25,8500,36946,50,0,300,0,0,0,0,0,0,0,0
62,25,25,0,0,84,104,0,0,25,9897,31279,50,0,300,0,0,0,0,0,0,0,0
63,25,25,0,0,88,108,0,0,25,11322,26670,50,0,300,0,0,0,0,0,0,0,0
64,25,25,0,0,88,112,0,0,25,13608,23529,50,0,300,0,0,0,0,0,0,0,0
65,24,26,0,0,90,114,0,0,24,15303,21196,50,0,300,0,0,0,0,0,0,0,0
66,24,26,0,0,92,116,0,0,24,18256,18884,50,0,300,0,0,0,0,0,0,0,0
67,22,28,0,0,94,120,0,0,22,21048,15325,50,0,300,0,0,0,0,0,0,0,0
68,22,28,0,0,96,122,0,0,22,25269,12717,50,0,300,0,0,0,0,0,0,0,0
69,22,28,0,0,100,124,0,0,23,31092,10733,50,0,300,0,0,0,0,0,0,0,0
70,22,28,0,0,102,128,0,0,23,36340,8835,50,0,300,0,0,0,0,0,0,0,0
71,22,28,0,0,104,130,0,0,23,39616,8006,50,0,300,0,0,0,0,0,0,0,0
72,22,28,0,0,110,134,0,0,23,43540,7230,50,0,300,0,0,0,0,0,0,0,0
73,22,28,0,0,114,136,0,0,24,55361,6021,50,0,300,0,0,0,0,0,0,0,0
74,22,28,0,0,116,140,0,0,24,59993,5256,50,0,300,0,0,0,0,0,0,0,0
75,22,28,0,0,120,142,0,0,25,71570,4796,50,0,300,0,0,0,0,0,0,0,0
76,22,28,0,0,124,148,0,0,25,81105,4272,50,0,300,0,0,0,0,0,0,0,0
77,22,28,0,0,124,150,0,0,26,94769,3531,50,0,300,0,0,0,0,0,0,0,0
78,22,28,0,0,128,156,0,0,26,115626,3155,50,0,300,0,0,0,0,0,0,0,0
79,22,28,0,0,130,160,0,0,27,127796,2868,50,0,300,0,0,0,0,0,0,0,0
80,22,28,0,0,134,160,0,0,27,148657,2600,50,0,300,0,0,0,0,0,0,0,0
81,22,28,0,0,142,162,0,0,28,156901,2261,50,0,300,0,0,0,0,0,0,0,0
82,22,28,0,0,144,166,0,0,28,175311,1948,50,0,300,0,0,0,0,0,0,0,0
83,22,28,0,0,144,170,0,0,29,202748,1578,50,0,300,0,0,0,0,0,0,0,0
84,22,28,0,0,144,174,0,0,29,227079,1373,50,0,300,0,0,0,0,0,0,0,0
85,22,28,0,0,146,174,0,0,29,265965,1202,50,0,300,0,0,0,0,0,0,0,0
86,22,28,0,0,148,176,0,0,29,305871,1055,50,0,300,0,0,0,0,0,0,0,0
87,22,28,0,0,150,178,0,0,30,364367,937,50,0,300,0,0,0,0,0,0,0,0
88,22,28,0,0,152,182,0,0,30,348177,1002,50,0,300,0,0,0,0,0,0,0,0
89,22,28,0,0,152,184,0,0,30,330856,1097,50,0,300,0,0,0,0,0,0,0,0
90,22,28,0,0,156,184,0,0,30,302563,1203,50,0,300,0,0,0,0,0,0,0,0
91,22,28,0,0,156,186,0,0,30,279258,1262,50,0,300,0,0,0,0,0,0,0,0
92,22,28,0,0,162,186,0,0,30,255833,1353,50,0,300,0,0,0,0,0,0,0,0
93,22,28,0,0,162,188,0,0,31,246544,1408,50,0,300,0,0,0,0,0,0,0,0
94,22,28,0,0,164,188,0,0,31,229800,1553,50,0,300,0,0,0,0,0,0,0,0
95,22,28,0,0,168,190,0,0,31,217912,1719,50,0,300,0,0,0,0,0,0,0,0
96,22,28,0,0,168,196,0,0,31,193764,1853,50,0,300,0,0,0,0,0,0,0,0
97,22,28,0,0,172,196,0,0,31,174404,2021,50,0,300,0,0,0,0,0,0,0,0
98,22,28,0,0,172,196,0,0,31,162994,2188,50,0,300,0,0,0,0,0,0,0,0
99,22,28,0,0,174,200,0,0,32,155959,2277,50,0,300,0,0,0,0,0,0,0,0
100,22,28,0,0,174,200,0,0,32,140563,2412,50,0,300,0,0,0,0,0,0,0,0
101,22,28,0,0,178,200,0,0,33,132179,2633,50,0,300,0,0,0,0,0,0,0,0
102,22,28,0,0,178,200,0,0,33,127071,2841,50,0,300,0,0,0,0,0,0,0,0
103,22,28,0,0,180,202,0,0,33,114330,3109,50,0,300,0,0,0,0,0,0,0,0
104,22,28,0,0,184,202,0,0,33,106712,3332,50,0,300,0,0,0,0,0,0,0,0
105,22,28,0,0,184,202,0,0,34,99287,3530,50,0,300,0,0,0,0,0,0,0,0
106,22,28,0,0,184,204,0,0,34,91110,3783,50,0,300,0,0,0,0,0,0,0,0
107,22,28,0,0,186,204,0,0,35,84180,4073,50,0,300,0,0,0,0,0,0,0,0
108,22,28,0,0,186,208,0,0,35,74574,4382,50,0,300,0,0,0,0,0,0,0,0
109,22,28,0,0,190,210,0,0,35,69886,4674,50,0,300,0,0,0,0,0,0,0,0
110,22,28,0,0,192,214,0,0,35,65549,4917,50,0,300,0,0,0,0,0,0,0,0
