tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,0,0,0,0,0,0,50,25356,10933,50,0,300,0,0,0,0,0,0,0,0
2,50,0,0,0,0,0,0,0,50,23298,12111,50,0,300,0,0,0,0,0,0,0,0
3,50,0,0,0,0,0,0,0,50,21823,13186,50,0,300,0,0,0,0,0,0,0,0
4,50,0,0,0,0,0,0,0,50,19973,14531,50,0,300,0,0,0,0,0,0,0,0
5,49,1,0,0,0,0,0,0,49,19059,16060,50,0,300,0,0,0,0,0,0,0,0
6,49,1,0,0,0,0,0,0,49,17649,17446,50,0,300,0,0,0,0,0,0,0,0
7,49,1,0,0,2,0,0,0,49,15382,18577,50,0,300,0,0,0,0,0,0,0,0
8,49,1,0,0,2,0,0,0,49,14440,20003,50,0,300,0,0,0,0,0,0,0,0
9,49,1,0,0,2,0,0,0,49,12345,21651,50,0,300,0,0,0,0,0,0,0,0
10,49,1,0,0,2,0,0,0,49,11184,23836,50,0,300,0,0,0,0,0,0,0,0
11,49,1,0,0,2,0,0,0,49,10209,25801,50,0,300,0,0,0,0,0,0,0,0
12,49,1,0,0,2,0,0,0,49,9589,27748,50,0,300,0,0,0,0,0,0,0,0
13,48,2,0,0,4,0,0,0,48,8585,30195,50,0,300,0,0,0,0,0,0,0,0
14,48,2,0,0,4,2,0,0,48,7751,32449,50,0,300,0,0,0,0,0,0,0,0
15,48,2,0,0,4,2,0,0,48,7241,35485,50,0,300,0,0,0,0,0,0,0,0
16,48,2,0,0,4,2,0,0,48,6562,38044,50,0,300,0,0,0,0,0,0,0,0
17,47,3,0,0,4,2,0,0,47,5893,41135,50,0,300,0,0,0,0,0,0,0,0
18,47,3,0,0,4,4,0,0,47,5360,43935,50,0,300,0,0,0,0,0,0,0,0
19,47,3,0,0,4,4,0,0,47,4866,47823,50,0,300,0,0,0,0,0,0,0,0
20,47,3,0,0,4,4,0,0,47,4426,53447,50,0,300,0,0,0,0,0,0,0,0
21,47,3,0,0,4,4,0,0,47,4062,59838,50,0,300,0,0,0,0,0,0,0,0
22,47,3,0,0,4,4,0,0,47,3656,65687,50,0,300,0,0,0,0,0,0,0,0
23,47,3,0,0,8,4,0,0,47,3256,72326,50,0,300,0,0,0,0,0,0,0,0
24,47,3,0,0,12,4,0,0,47,2805,76749,50,0,300,0,0,0,0,0,0,0,0
25,46,4,0,0,12,6,0,0,46,2559,85836,50,0,300,0,0,0,0,0,0,0,0
26,46,4,0,0,12,6,0,0,46,2351,91111,50,0,300,0,0,0,0,0,0,0,0
27,45,5,0,0,12,8,0,0,45,2116,97127,50,0,300,0,0,0,0,0,0,0,0
28,45,5,0,0,12,8,0,0,45,1906,106763,50,0,300,0,0,0,0,0,0,0,0
29,43,7,0,0,14,12,0,0,43,1710,116013,50,0,300,0,0,0,0,0,0,0,0
30,43,7,0,0,16,14,0,0,43,1578,125322,50,0,300,0,0,0,0,0,0,0,0
31,41,9,0,0,16,20,0,0,41,1397,137758,50,0,300,0,0,0,0,0,0,0,0
32,41,9,0,0,18,22,0,0,41,1261,150778,50,0,300,0,0,0,0,0,0,0,0
33,39,11,0,0,20,24,0,0,39,1183,164422,50,0,300,0,0,0,0,0,0,0,0
34,39,11,0,0,20,24,0,0,39,1059,178116,50,0,300,0,0,0,0,0,0,0,0
35,37,13,0,0,22,24,0,0,37,965,197167,50,0,300,0,0,0,0,0,0,0,0
36,37,13,0,0,26,28,0,0,37,877,216285,50,0,300,0,0,0,0,0,0,0,0
37,37,13,0,0,28,30,0,0,37,791,240537,50,0,300,0,0,0,0,0,0,0,0
38,37,13,0,0,30,36,0,0,37,712,262960,50,0,300,0,0,0,0,0,0,0,0
39,36,14,0,0,32,40,0,0,36,643,292367,50,0,300,0,0,0,0,0,0,0,0
40,36,14,0,0,34,44,0,0,36,582,316253,50,0,300,0,0,0,0,0,0,0,0
41,34,16,0,0,34,46,0,0,34,535,340858,50,0,300,0,0,0,0,0,0,0,0
42,34,16,0,0,38,50,0,0,34,491,366221,50,0,300,0,0,0,0,0,0,0,0
43,32,18,0,0,40,52,0,0,32,455,410503,50,0,300,0,0,0,0,0,0,0,0
44,32,18,0,0,42,58,0,0,32,439,436848,50,0,300,0,0,0,0,0,0,0,0
45,30,20,0,0,42,60,0,0,30,416,464362,50,0,300,0,0,0,0,0,0,0,0
46,30,20,0,0,42,62,0,0,30,401,506865,50,0,300,0,0,0,0,0,0,0,0
47,28,22,0,0,46,68,0,0,28,438,447623,50,0,300,0,0,0,0,0,0,0,0
48,28,22,0,0,48,70,0,0,28,459,425450,50,0,300,0,0,0,0,0,0,0,0
49,28,22,0,0,52,76,0,0,28,509,376380,50,0,300,0,0,0,0,0,0,0,0
50,28,22,0,0,56,78,0,0,28,587,343037,50,0,300,0,0,0,0,0,0,0,0
51,27,23,0,0,60,82,0,0,27,643,275725,50,0,300,0,0,0,0,0,0,0,0
52,27,23,0,0,64,84,0,0,27,688,241086,50,0,300,0,0,0,0,0,0,0,0
53,25,25,0,0,68,88,0,0,25,733,210769,50,0,300,0,0,0,0,0,0,0,0
54,25,25,0,0,72,90,0,0,25,826,184920,50,0,300,0,0,0,0,0,0,0,0
55,24,26,0,0,76,94,0,0,24,940,160149,50,0,300,0,0,0,0,0,0,0,0
56,24,26,0,0,80,94,0,0,24,996,139856,50,0,300,0,0,0,0,0,0,0,0
57,23,27,0,0,80,94,0,0,23,1133,132950,50,0,300,0,0,0,0,0,0,0,0
58,23,27,0,0,84,94,0,0,23,1224,121136,50,0,300,0,0,0,0,0,0,0,0
59,23,27,0,0,86,98,0,0,23,1341,109771,50,0,300,0,0,0,0,0,0,0,0
60,23,27,0,0,88,100,0,0,23,1477,100298,50,0,300,0,0,0,0,0,0,0,0
61,22,28,0,0,88,102,0,0,22,1627,87899,50,0,300,0,0,0,0,0,0,0,0
62,22,28,0,0,92,104,0,0,22,1892,81439,50,0,300,0,0,0,0,0,0,0,0
63,21,29,0,0,94,108,0,0,21,2082,69173,50,0,300,0,0,0,0,0,0,0,0
64,21,29,0,0,96,114,0,0,21,2384,63516,50,0,300,0,0,0,0,0,0,0,0
65,21,29,0,0,100,114,0,0,21,2494,54853,50,0,300,0,0,0,0,0,0,0,0
66,21,29,0,0,102,114,0,0,21,2911,51036,50,0,300,0,0,0,0,0,0,0,0
67,19,31,0,0,104,114,0,0,19,3519,40467,50,0,300,0,0,0,0,0,0,0,0
68,19,31,0,0,106,118,0,0,19,4250,33547,50,0,300,0,0,0,0,0,0,0,0
69,18,32,0,0,110,122,0,0,18,4983,28293,50,0,300,0,0,0,0,0,0,0,0
70,18,32,0,0,116,124,0,0,18,5810,23501,50,0,300,0,0,0,0,0,0,0,0
71,17,33,0,0,118,132,0,0,17,6602,18222,50,0,300,0,0,0,0,0,0,0,0
72,17,33,0,0,124,134,0,0,17,8181,14206,50,0,300,0,0,0,0,0,0,0,0
73,17,33,0,0,126,136,0,0,17,9673,12816,50,0,300,0,0,0,0,0,0,0,0
74,17,33,0,0,128,138,0,0,17,12265,10312,50,0,300,0,0,0,0,0,0,0,0
75,17,33,0,0,130,142,0,0,17,15420,7801,50,0,300,0,0,0,0,0,0,0,0
76,17,33,0,0,132,150,0,0,17,18812,6240,50,0,300,0,0,0,0,0,0,0,0
77,17,33,0,0,134,154,0,0,17,23146,5297,50,0,300,0,0,0,0,0,0,0,0
78,17,33,0,0,136,158,0,0,17,29392,4151,50,0,300,0,0,0,0,0,0,0,0
79,17,33,0,0,136,164,0,0,18,34890,3397,50,0,300,0,0,0,0,0,0,0,0
80,17,33,0,0,138,166,0,0,18,41984,2749,50,0,300,0,0,0,0,0,0,0,0
81,17,33,0,0,140,168,0,0,18,50180,2345,50,0,300,0,0,0,0,0,0,0,0
82,17,33,0,0,142,170,0,0,18,60853,1869,50,0,300,0,0,0,0,0,0,0,0
83,17,33,0,0,148,172,0,0,18,72791,1559,50,0,300,0,0,0,0,0,0,0,0
84,17,33,0,0,152,172,0,0,18,86143,1295,50,0,300,0,0,0,0,0,0,0,0
85,17,33,0,0,156,172,0,0,19,108029,985,50,0,300,0,0,0,0,0,0,0,0
86,17,33,0,0,156,172,0,0,19,136349,749,50,0,300,0,0,0,0,0,0,0,0
87,17,33,0,0,158,176,0,0,20,148251,676,50,0,300,0,0,0,0,0,0,0,0
88,17,33,0,0,164,182,0,0,20,159179,598,50,0,300,0,0,0,0,0,0,0,0
89,17,33,0,0,164,184,0,0,21,162680,496,50,0,300,0,0,0,0,0,0,0,0
90,17,33,0,0,168,184,0,0,21,175230,454,50,0,300,0,0,0,0,0,0,0,0
91,17,33,0,0,168,188,0,0,22,183930,386,50,0,300,0,0,0,0,0,0,0,0
92,17,33,0,0,170,194,0,0,22,189591,375,50,0,300,0,0,0,0,0,0,0,0
93,17,33,0,0,174,194,0,0,22,192003,338,50,0,300,0,0,0,0,0,0,0,0
94,17,33,0,0,182,196,0,0,22,201999,302,50,0,300,0,0,0,0,0,0,0,0
95,17,33,0,0,186,200,0,0,22,215998,280,50,0,300,0,0,0,0,0,0,0,0
96,17,33,0,0,194,200,0,0,22,247636,255,50,0,300,0,0,0,0,0,0,0,0
97,17,33,0,0,198,202,0,0,22,300907,234,50,0,300,0,0,0,0,0,0,0,0
98,17,33,0,0,198,206,0,0,22,334207,191,50,0,300,0,0,0,0,0,0,0,0
99,17,33,0,0,200,210,0,0,23,375132,175,50,0,300,0,0,0,0,0,0,0,0
100,17,33,0,0,202,218,0,0,23,428007,151,50,0,300,0,0,0,0,0,0,0,0
101,17,33,0,0,204,220,0,0,24,486540,134,50,0,300,0,0,0,0,0,0,0,0
102,17,33,0,0,204,222,0,0,24,531167,121,50,0,300,0,0,0,0,0,0,0,0
103,17,33,0,0,204,230,0,0,24,532041,110,50,0,300,0,0,0,0,0,0,0,0
104,17,33,0,0,208,226,0,1,24,613339,100,50,0,300,0,0,0,0,0,0,0,0
105,17,33,0,0,208,226,0,1,25,688861,94,50,0,300,0,0,0,0,0,0,0,0
106,17,33,0,0,212,232,0,1,25,749877,83,50,0,300,0,0,0,0,0,0,0,0
107,17,33,0,0,214,228,0,2,25,813824,76,50,0,300,0,0,0,0,0,0,0,0
108,17,33,0,0,220,232,0,2,25,905456,63,50,0,300,0,0,0,0,0,0,0,0
109,17,33,0,0,220,234,0,2,25,973592,56,50,0,300,0,0,0,0,0,0,0,0
110,17,33,0,0,220,234,0,2,25,1021352,52,50,0,300,0,0,0,0,0,0,0,0
111,17,33,0,0,228,234,0,2,26,1123180,45,50,0,300,0,0,0,0,0,0,0,0
112,17,33,0,0,232,236,0,2,26,1193094,40,50,0,300,0,0,0,0,0,0,0,0
113,17,33,0,0,236,236,0,2,27,1315335,36,50,0,300,0,0,0,0,0,0,0,0
114,17,33,0,0,236,236,0,2,27,1510495,35,50,0,300,0,0,0,0,0,0,0,0
115,17,33,0,0,238,240,0,2,27,1577373,33,50,0,300,0,0,0,0,0,0,0,0
116,17,33,0,0,242,240,0,2,27,1623265,31,50,0,300,0,0,0,0,0,0,0,0
117,17,33,0,0,246,240,0,2,28,1706186,28,50,0,300,0,0,0,0,0,0,0,0
118,17,33,0,0,252,244,0,2,28,2060356,27,50,0,300,0,0,0,0,0,0,0,0
119,17,33,0,0,254,244,0,2,28,2107328,26,50,0,300,0,0,0,0,0,0,0,0
120,17,33,0,0,260,244,0,2,28,2276829,26,50,0,300,0,0,0,0,0,0,0,0
121,17,33,0,0,263,246,0,2,29,2483929,25,50,0,300,0,0,0,0,0,0,0,0
122,17,33,0,0,265,250,0,2,29,2809720,25,50,0,300,0,0,0,0,0,0,0,0
123,17,33,0,0,265,252,0,2,29,3261241,25,50,0,300,0,0,0,0,0,0,0,0
124,17,33,0,0,267,254,0,2,29,3615465,25,50,0,300,0,0,0,0,0,0,0,0
125,17,33,0,0,269,256,0,2,29,3893804,25,50,0,300,0,0,0,0,0,0,0,0
126,17,33,0,0,271,264,0,2,29,4241635,25,50,0,300,0,0,0,0,0,0,0,0
127,17,33,0,0,271,266,0,2,30,4767903,25,50,0,300,0,0,0,0,0,0,0,0
128,17,33,0,0,271,268,0,2,30,4343494,25,50,0,300,0,0,0,0,0,0,0,0
129,17,33,0,0,273,268,0,2,30,3966935,25,50,0,300,0,0,0,0,0,0,0,0
130,17,33,0,0,273,268,0,2,30,3553182,25,50,0,300,0,0,0,0,0,0,0,0
131,17,33,0,0,275,270,0,2,30,3140016,25,50,0,300,0,0,0,0,0,0,0,0
132,17,33,0,0,271,276,1,2,30,2663523,25,50,0,300,0,0,0,0,0,0,0,0
133,17,33,0,0,273,276,1,2,30,2432941,25,50,0,300,0,0,0,0,0,0,0,0
134,17,33,0,0,275,276,1,2,30,2114269,25,50,0,300,0,0,0,0,0,0,0,0
135,17,33,0,0,277,276,1,2,30,1867391,25,50,0,300,0,0,0,0,0,0,0,0
136,17,33,0,0,275,272,1,3,30,1745232,25,50,0,300,0,0,0,1,0,0,0,0
137,17,33,0,0,275,274,1,3,31,1609459,25,50,0,300,0,0,0,1,0,0,0,0
138,17,33,0,0,277,278,1,3,31,1415624,25,50,0,300,0,0,0,1,0,0,0,0
139,17,33,0,0,279,278,1,3,32,1263752,25,50,0,300,0,0,0,1,0,0,0,0
140,17,33,0,0,279,278,1,3,32,1164256,25,50,0,300,0,0,0,1,0,0,0,0
141,17,33,0,0,279,278,1,3,32,1061160,25,50,0,300,0,0,0,1,0,0,0,0
142,17,33,0,0,283,278,1,3,32,995835,25,50,0,300,0,0,0,1,0,0,0,0
143,17,33,0,0,283,280,1,3,33,913984,25,50,0,300,0,0,0,1,0,0,0,0
144,17,33,0,0,285,280,1,3,33,860996,25,50,0,300,0,0,0,1,0,0,0,0
145,17,33,0,0,287,280,1,3,34,751702,25,50,0,300,0,0,0,1,0,0,0,0
146,17,33,0,0,287,272,1,5,34,693690,25,50,0,300,0,0,0,1,0,0,0,0
147,17,33,0,0,287,272,1,5,34,610172,25,50,0,300,0,0,0,1,0,0,0,0
148,17,33,0,0,289,272,1,5,34,587220,25,50,0,300,0,0,0,1,0,0,0,0
149,17,33,0,0,289,274,1,5,35,548537,25,50,0,300,0,0,0,1,0,0,0,0
150,17,33,0,0,289,274,1,5,35,484874,25,50,0,300,0,0,0,1,0,0,0,0
151,17,33,0,0,291,274,1,5,36,414614,25,50,0,300,0,0,0,1,0,0,0,0
152,17,33,0,0,291,274,1,5,36,363488,25,50,0,300,0,0,0,1,0,0,0,0
153,17,33,0,0,295,276,1,5,36,332554,25,50,0,300,0,0,0,1,0,0,0,0
154,17,33,0,0,299,276,1,5,36,288467,25,50,0,300,0,0,0,1,0,0,0,0
155,17,33,0,0,299,280,1,5,36,254687,25,50,0,300,0,0,0,1,0,0,0,0
156,17,33,0,0,297,280,2,5,36,234320,25,50,0,300,0,0,0,1,0,0,0,0
157,17,33,0,0,299,286,2,5,36,210914,25,50,0,300,0,0,0,1,0,0,0,0
158,17,33,0,0,303,286,2,5,36,185613,25,50,0,300,0,0,0,1,0,0,0,0
159,17,33,0,0,305,286,2,5,37,161715,25,50,0,300,0,0,0,1,0,0,0,0
160,17,33,0,0,307,288,2,5,37,150571,25,50,0,300,0,0,0,1,0,0,0,0
161,17,33,0,0,309,288,2,5,37,133856,25,50,0,300,0,0,0,1,0,0,0,0
162,17,33,0,0,311,288,2,5,37,126472,25,50,0,300,0,0,0,1,0,0,0,0
163,17,33,0,0,311,288,2,5,37,118679,25,50,0,300,0,0,0,1,0,0,0,0
164,17,33,0,0,311,290,2,5,37,103995,25,50,0,300,0,0,0,1,0,0,0,0
165,17,33,0,0,315,292,2,5,37,93809,25,50,0,300,0,0,0,1,0,0,0,0
166,17,33,0,0,317,296,2,5,37,83038,25,50,0,300,0,0,0,1,0,0,0,0
167,17,33,0,0,321,292,2,6,37,78825,25,50,0,300,0,0,0,1,0,0,0,0
168,17,33,0,0,321,296,2,6,37,70764,25,50,0,300,0,0,0,1,0,0,0,0
169,17,33,0,0,321,298,2,6,38,65511,25,50,0,300,0,0,0,1,0,0,0,0
170,17,33,0,0,321,300,2,6,38,58809,25,50,0,300,0,0,0,1,0,0,0,0
171,17,33,0,0,319,296,3,7,38,55208,25,50,0,300,0,0,0,1,0,0,0,0
172,17,33,0,0,323,298,3,7,38,50925,25,50,0,300,0,0,0,1,0,0,0,0
173,17,33,0,0,325,298,3,7,39,46389,25,50,0,300,0,0,0,1,0,0,0,0
174,17,33,0,0,325,298,3,7,39,40858,25,50,0,300,0,0,0,1,0,0,0,0
175,17,33,0,0,325,298,3,7,39,36185,25,50,0,300,0,0,0,1,0,0,0,0
176,17,33,0,0,325,300,4,7,39,32434,25,50,0,300,0,0,0,1,0,0,0,0
