tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,0,0,0,0,0,0,50,27979,10979,50,0,300,0,0,0,0,0,0,0,0
2,50,0,0,0,0,0,0,0,50,25914,12330,50,0,300,0,0,0,0,0,0,0,0
3,50,0,0,0,0,0,0,0,50,24037,13349,50,0,300,0,0,0,0,0,0,0,0
4,50,0,0,0,0,0,0,0,50,21319,14333,50,0,300,0,0,0,0,0,0,0,0
5,48,2,0,0,0,0,0,0,48,19286,15533,50,0,300,0,0,0,0,0,0,0,0
6,48,2,0,0,2,2,0,0,48,17298,16765,50,0,300,0,0,0,0,0,0,0,0
7,46,4,0,0,2,2,0,0,46,15787,18111,50,0,300,0,0,0,0,0,0,0,0
8,46,4,0,0,2,4,0,0,46,14328,19787,50,0,300,0,0,0,0,0,0,0,0
9,45,5,0,0,2,10,0,0,45,13340,21407,50,0,300,0,0,0,0,0,0,0,0
10,45,5,0,0,2,10,0,0,45,12226,23545,50,0,300,0,0,0,0,0,0,0,0
11,44,6,0,0,4,10,0,0,44,11128,25050,50,0,300,0,0,0,0,0,0,0,0
12,44,6,0,0,4,10,0,0,44,9994,27209,50,0,300,0,0,0,0,0,0,0,0
13,44,6,0,0,6,10,0,0,44,9507,29375,50,0,300,0,0,0,0,0,0,0,0
14,44,6,0,0,6,12,0,0,44,8470,32045,50,0,300,0,0,0,0,0,0,0,0
15,43,7,0,0,6,12,0,0,43,7390,35081,50,0,300,0,0,0,0,0,0,0,0
16,43,7,0,0,6,12,0,0,43,7097,37460,50,0,300,0,0,0,0,0,0,0,0
17,43,7,0,0,6,14,0,0,43,6431,41426,50,0,300,0,0,0,0,0,0,0,0
18,43,7,0,0,6,16,0,0,43,5748,44360,50,0,300,0,0,0,0,0,0,0,0
19,42,8,0,0,6,16,0,0,42,4988,48961,50,0,300,0,0,0,0,0,0,0,0
20,42,8,0,0,6,16,0,0,42,4213,54344,50,0,300,0,0,0,0,0,0,0,0
21,42,8,0,0,6,18,0,0,42,3652,57790,50,0,300,0,0,0,0,0,0,0,0
22,42,8,0,0,6,22,0,0,42,3368,61678,50,0,300,0,0,0,0,0,0,0,0
23,40,10,0,0,6,24,0,0,40,3104,67470,50,0,300,0,0,0,0,0,0,0,0
24,40,10,0,0,6,26,0,0,40,2777,71760,50,0,300,0,0,0,0,0,0,0,0
25,39,11,0,0,8,30,0,0,39,2526,76428,50,0,300,0,0,0,0,0,0,0,0
26,39,11,0,0,14,30,0,0,39,2335,81095,50,0,300,0,0,0,0,0,0,0,0
27,37,13,0,0,16,32,0,0,37,2090,89834,50,0,300,0,0,0,0,0,0,0,0
28,37,13,0,0,22,34,0,0,37,1899,96802,50,0,300,0,0,0,0,0,0,0,0
29,36,14,0,0,24,38,0,0,36,1710,107451,50,0,300,0,0,0,0,0,0,0,0
30,36,14,0,0,26,38,0,0,36,1534,118429,50,0,300,0,0,0,0,0,0,0,0
31,36,14,0,0,28,40,0,0,36,1420,123600,50,0,300,0,0,0,0,0,0,0,0
32,36,14,0,0,28,44,0,0,36,1294,136039,50,0,300,0,0,0,0,0,0,0,0
33,34,16,0,0,30,48,0,0,34,1185,150970,50,0,300,0,0,0,0,0,0,0,0
34,34,16,0,0,32,50,0,0,34,1126,164346,50,0,300,0,0,0,0,0,0,0,0
35,32,18,0,0,32,52,0,0,32,1051,176266,50,0,300,0,0,0,0,0,0,0,0
36,32,18,0,0,38,56,0,0,32,948,190930,50,0,300,0,0,0,0,0,0,0,0
37,32,18,0,0,42,60,0,0,32,889,212619,50,0,300,0,0,0,0,0,0,0,0
38,32,18,0,0,46,64,0,0,32,826,230755,50,0,300,0,0,0,0,0,0,0,0
39,30,20,0,0,48,72,0,0,30,733,250917,50,0,300,0,0,0,0,0,0,0,0
40,30,20,0,0,52,74,0,0,30,699,269679,50,0,300,0,0,0,0,0,0,0,0
41,28,22,0,0,56,80,0,0,28,639,286281,50,0,300,0,0,0,0,0,0,0,0
42,28,22,0,0,60,82,0,0,28,727,261182,50,0,300,0,0,0,0,0,0,0,0
43,27,23,0,0,64,82,0,0,27,807,236476,50,0,300,0,0,0,0,0,0,0,0
44,27,23,0,0,70,82,0,0,27,844,213020,50,0,300,0,0,0,0,0,0,0,0
45,26,24,0,0,76,88,0,0,26,844,186217,50,0,300,0,0,0,0,0,0,0,0
46,26,24,0,0,82,90,0,0,26,910,156714,50,0,300,0,0,0,0,0,0,0,0
47,25,25,0,0,82,94,0,0,25,994,138129,50,0,300,0,0,0,0,0,0,0,0
48,25,25,0,0,86,96,0,0,25,1081,116424,50,0,300,0,0,0,0,0,0,0,0
49,23,27,0,0,92,102,0,0,23,1196,111639,50,0,300,0,0,0,0,0,0,0,0
